layer,rsa_rho_group_axis,rsa_rho_question_axis
0,,
1,-0.18406512977818604,0.029295543740200755
2,-0.18656289334929838,0.040326629593101584
3,-0.21506165505743935,0.03215657536527609
4,-0.242155014697196,0.03396012044582593
5,-0.28803687828615776,0.038572257708449936
6,-0.2782741036391372,0.052000106965922534
7,-0.28458739420321705,0.05396630011512989
8,-0.2706828284958643,0.04390096032775223
9,-0.26606272034574835,0.04258701974870041
10,-0.23940293541194677,0.04591434374575919
11,-0.2330904606839993,0.04785318451295429
12,-0.21607212761802183,0.04425510836480425
13,-0.21576180476066464,0.0433407421660352
14,-0.20370666166070772,0.04009110891653982
15,-0.19517503485342036,0.04038173191729627
16,-0.16958874733885537,0.03911189941369246
17,-0.15920763514808794,0.044574331077728874
18,-0.16080541775395293,0.04515802496126891
19,-0.15608700675738296,0.04544791589998084
20,-0.1245267483642878,0.04136332564611238
21,-0.12324781709233493,0.03823369831060411
22,-0.11948412149442504,0.03700108735533831
23,-0.10630455927804476,0.03537296130612084
24,-0.08333711888332046,0.03460830689341748
25,-0.07144593932469792,0.03353417635752634
26,-0.07096636834024324,0.03455584790242442
27,-0.0743990454340706,0.03459250321448929
28,-0.08550323301847236,0.03577556478879655
29,-0.08712046481447833,0.03710213420413069
30,-0.1015982105952315,0.03825955823271857
31,-0.10494920232836669,0.03807435897088466
32,-0.10080339354937955,0.02641345807353072
