n,repeat,cell,qkey,method,wd
5,0,White | Protestant,ALLIES_W92,probe_plain,0.445927362212424
5,0,White | Protestant,ALLIES_W92,probe_L_group,0.44635765290848284
5,0,White | Protestant,ALLIES_W92,shrinkage,0.030693605913694966
5,0,White | Protestant,ANONYMOUS1CO_W49,probe_plain,0.656880430021573
5,0,White | Protestant,ANONYMOUS1CO_W49,probe_L_group,0.6576819518228628
5,0,White | Protestant,ANONYMOUS1CO_W49,shrinkage,0.05241264861567724
5,0,White | Protestant,ANONYMOUS1GOV_W49,probe_plain,0.6224367655661409
5,0,White | Protestant,ANONYMOUS1GOV_W49,probe_L_group,0.6230969180421166
5,0,White | Protestant,ANONYMOUS1GOV_W49,shrinkage,0.025110794421843996
5,0,White | Protestant,BIGHOUSES_W92,probe_plain,0.2869944118572739
5,0,White | Protestant,BIGHOUSES_W92,probe_L_group,0.2873422107550432
5,0,White | Protestant,BIGHOUSES_W92,shrinkage,0.07561990912338379
5,0,White | Protestant,BUSPROFIT_W92,probe_plain,0.4267923608563041
5,0,White | Protestant,BUSPROFIT_W92,probe_L_group,0.42709962067199847
5,0,White | Protestant,BUSPROFIT_W92,shrinkage,0.047882660192778426
5,0,White | Protestant,CANMTCHPOL_W92,probe_plain,0.36030374226014517
5,0,White | Protestant,CANMTCHPOL_W92,probe_L_group,0.36032191901737465
5,0,White | Protestant,CANMTCHPOL_W92,shrinkage,0.05294195498540222
5,0,White | Protestant,CNTRYFAIR_W92,probe_plain,0.6620447071626445
5,0,White | Protestant,CNTRYFAIR_W92,probe_L_group,0.6663605432777069
5,0,White | Protestant,CNTRYFAIR_W92,shrinkage,0.03343477788245197
5,0,White | Protestant,COMPROMISEVAL_W92,probe_plain,0.6004002845243225
5,0,White | Protestant,COMPROMISEVAL_W92,probe_L_group,0.43075392467254614
5,0,White | Protestant,COMPROMISEVAL_W92,shrinkage,0.06540760529031986
5,0,White | Protestant,DATAUSEa_W49,probe_plain,0.695310479582757
5,0,White | Protestant,DATAUSEa_W49,probe_L_group,0.3030386919237009
5,0,White | Protestant,DATAUSEa_W49,shrinkage,0.0935729808627167
5,0,White | Protestant,DATAUSEb_W49,probe_plain,0.5196902190614546
5,0,White | Protestant,DATAUSEb_W49,probe_L_group,0.36968726556976916
5,0,White | Protestant,DATAUSEb_W49,shrinkage,0.04094741170888161
5,0,White | Protestant,DATAUSEc_W49,probe_plain,0.677878228933129
5,0,White | Protestant,DATAUSEc_W49,probe_L_group,0.32123314365663325
5,0,White | Protestant,DATAUSEc_W49,shrinkage,0.008965060959881477
5,0,White | Protestant,DATAUSEd_W49,probe_plain,0.48619920143051193
5,0,White | Protestant,DATAUSEd_W49,probe_L_group,0.48705227049325894
5,0,White | Protestant,DATAUSEd_W49,shrinkage,0.03732187711779317
5,0,White | Protestant,DATAUSEe_W49,probe_plain,0.2950215981097565
5,0,White | Protestant,DATAUSEe_W49,probe_L_group,0.6943993714991257
5,0,White | Protestant,DATAUSEe_W49,shrinkage,0.02612726247749897
5,0,White | Protestant,DATAUSEf_W49,probe_plain,0.40331118883878336
5,0,White | Protestant,DATAUSEf_W49,probe_L_group,0.5966532380896845
5,0,White | Protestant,DATAUSEf_W49,shrinkage,0.10400796501412873
5,0,White | Protestant,DB1a_W49,probe_plain,0.22066097260265272
5,0,White | Protestant,DB1a_W49,probe_L_group,0.7780294778060893
5,0,White | Protestant,DB1a_W49,shrinkage,0.06519727838916115
5,0,White | Protestant,DB1c_W49,probe_plain,0.03604030652837524
5,0,White | Protestant,DB1c_W49,probe_L_group,0.9333857704896193
5,0,White | Protestant,DB1c_W49,shrinkage,0.0017694512792650954
5,0,White | Protestant,DISAVOID_W45,probe_plain,0.48309821500910943
5,0,White | Protestant,DISAVOID_W45,probe_L_group,0.5287312782322476
5,0,White | Protestant,DISAVOID_W45,shrinkage,0.04707126471166467
5,0,White | Protestant,DNA2a_W50,probe_plain,0.08477827775658364
5,0,White | Protestant,DNA2a_W50,probe_L_group,0.08539396390477039
5,0,White | Protestant,DNA2a_W50,shrinkage,0.003119222540615807
5,0,White | Protestant,DNA2b_W50,probe_plain,0.5865707768578419
5,0,White | Protestant,DNA2b_W50,probe_L_group,0.6554211217617336
5,0,White | Protestant,DNA2b_W50,shrinkage,0.013072557163775145
5,0,White | Protestant,DNA2c_W50,probe_plain,0.5898373261176673
5,0,White | Protestant,DNA2c_W50,probe_L_group,0.6031986965711577
5,0,White | Protestant,DNA2c_W50,shrinkage,0.05636117872037283
5,0,White | Protestant,DNA3a_W50,probe_plain,0.4548651300953349
5,0,White | Protestant,DNA3a_W50,probe_L_group,0.5065118922573003
5,0,White | Protestant,DNA3a_W50,shrinkage,0.1553439304088693
5,0,White | Protestant,DNA3b_W50,probe_plain,0.375473174384362
5,0,White | Protestant,DNA3b_W50,probe_L_group,0.34902033500981977
5,0,White | Protestant,DNA3b_W50,shrinkage,0.0232768604523427
5,0,White | Protestant,DNA3c_W50,probe_plain,0.5735864368256998
5,0,White | Protestant,DNA3c_W50,probe_L_group,0.7322268491912471
5,0,White | Protestant,DNA3c_W50,shrinkage,0.03462238317437
5,0,White | Protestant,DNA4_W50,probe_plain,0.033824134247833815
5,0,White | Protestant,DNA4_W50,probe_L_group,0.11484210961911467
5,0,White | Protestant,DNA4_W50,shrinkage,0.15473736311268615
5,0,White | Protestant,DNA5_W50,probe_plain,0.12863385244891107
5,0,White | Protestant,DNA5_W50,probe_L_group,0.06733810750046433
5,0,White | Protestant,DNA5_W50,shrinkage,0.006300834473982372
5,0,White | Protestant,DNATEST_W49,probe_plain,0.1407292480210205
5,0,White | Protestant,DNATEST_W49,probe_L_group,0.034892772252974935
