n,method,mean,std,count
5,probe_L_group,0.4483590523813271,0.21551933177984314,2955
5,probe_plain,0.43771956183815874,0.21648482806781716,2955
5,shrinkage,0.0648080222136029,0.05167953314494651,2955
10,probe_L_group,0.4346916287598045,0.21430222544400399,2955
10,probe_plain,0.39678850840815,0.20637844967051294,2955
10,shrinkage,0.0645761873393995,0.05181182828239347,2955
20,probe_L_group,0.4067520798620089,0.2106441229521195,2955
20,probe_plain,0.4620407594368715,0.21596455636327708,2955
20,shrinkage,0.061280580331598,0.0484871426182904,2955
50,probe_L_group,0.4803673134602077,0.21289108499661172,2955
50,probe_plain,0.4065394586636336,0.21370921581652125,2955
50,shrinkage,0.05068457226439233,0.03959297070181688,2955
