component,layer,head,template,attr_type,rho
resid,0,-1,T0,AGExPOLPARTY,
resid,0,-1,T0,EDUCATIONxINCOME,
resid,0,-1,T0,RACExPOLIDEOLOGY,
resid,0,-1,T0,RACExPOLPARTY,
resid,0,-1,T0,RACExRELIG,
resid,0,-1,T0,RELIGxPOLPARTY,
resid,0,-1,T1,AGExPOLPARTY,
resid,0,-1,T1,EDUCATIONxINCOME,
resid,0,-1,T1,RACExPOLIDEOLOGY,
resid,0,-1,T1,RACExPOLPARTY,
resid,0,-1,T1,RACExRELIG,
resid,0,-1,T1,RELIGxPOLPARTY,
resid,0,-1,T2,AGExPOLPARTY,
resid,0,-1,T2,EDUCATIONxINCOME,
resid,0,-1,T2,RACExPOLIDEOLOGY,
resid,0,-1,T2,RACExPOLPARTY,
resid,0,-1,T2,RACExRELIG,
resid,0,-1,T2,RELIGxPOLPARTY,
resid,0,-1,T3,AGExPOLPARTY,
resid,0,-1,T3,EDUCATIONxINCOME,
resid,0,-1,T3,RACExPOLIDEOLOGY,
resid,0,-1,T3,RACExPOLPARTY,
resid,0,-1,T3,RACExRELIG,
resid,0,-1,T3,RELIGxPOLPARTY,
resid,0,-1,Tmean,AGExPOLPARTY,
resid,0,-1,Tmean,EDUCATIONxINCOME,
resid,0,-1,Tmean,RACExPOLIDEOLOGY,
resid,0,-1,Tmean,RACExPOLPARTY,
resid,0,-1,Tmean,RACExRELIG,
resid,0,-1,Tmean,RELIGxPOLPARTY,
resid,1,-1,T0,AGExPOLPARTY,0.325177918057175
resid,1,-1,T0,EDUCATIONxINCOME,0.43072626053564644
resid,1,-1,T0,RACExPOLIDEOLOGY,-0.04503261122834028
resid,1,-1,T0,RACExPOLPARTY,0.07470093631349306
resid,1,-1,T0,RACExRELIG,0.04377734537348396
resid,1,-1,T0,RELIGxPOLPARTY,0.15860305533172356
resid,1,-1,T1,AGExPOLPARTY,0.3274630426333212
resid,1,-1,T1,EDUCATIONxINCOME,0.4334039792721642
resid,1,-1,T1,RACExPOLIDEOLOGY,-0.047345009669824356
resid,1,-1,T1,RACExPOLPARTY,0.07319678692811987
resid,1,-1,T1,RACExRELIG,0.04575187969924812
resid,1,-1,T1,RELIGxPOLPARTY,0.15904682208424387
resid,1,-1,T2,AGExPOLPARTY,0.3937752134346561
resid,1,-1,T2,EDUCATIONxINCOME,0.46037689103973184
resid,1,-1,T2,RACExPOLIDEOLOGY,0.060090819319595125
resid,1,-1,T2,RACExPOLPARTY,0.1666577544658943
resid,1,-1,T2,RACExRELIG,0.0909948366354578
resid,1,-1,T2,RELIGxPOLPARTY,0.14866257564425564
resid,1,-1,T3,AGExPOLPARTY,0.31601731601731603
resid,1,-1,T3,EDUCATIONxINCOME,0.4279336844916526
resid,1,-1,T3,RACExPOLIDEOLOGY,-0.050680500558686455
resid,1,-1,T3,RACExPOLPARTY,0.0747126359198013
resid,1,-1,T3,RACExRELIG,0.057576415914157256
resid,1,-1,T3,RELIGxPOLPARTY,0.16142336405700303
resid,1,-1,Tmean,AGExPOLPARTY,0.3233283744119657
