head,attr_type,rho,p_raw,p_bonf_1024
L11 H16,AGExPOLPARTY,0.6653197164033078,0.0,0.0
L11 H16,EDUCATIONxINCOME,0.6686349076326227,0.0,0.0
L11 H16,RACExPOLIDEOLOGY,0.46735634480101595,0.0,0.0
L11 H16,RACExPOLPARTY,0.5942716953211706,0.0,0.0
L11 H16,RACExRELIG,0.3298507761197347,0.0,0.0
L11 H16,RELIGxPOLPARTY,0.5996563824374541,0.0,0.0
L18 H14,AGExPOLPARTY,0.642532132470213,0.0,0.0
L18 H14,EDUCATIONxINCOME,0.5534625660296881,0.0,0.0
L18 H14,RACExPOLIDEOLOGY,0.4151190764971961,0.0,0.0
L18 H14,RACExPOLPARTY,0.6260772211296949,0.0,0.0
L18 H14,RACExRELIG,0.39857731752575026,0.004,1.0
L18 H14,RELIGxPOLPARTY,0.4716081797599488,0.0,0.0
