component,layer,head,template,attr_type,rho
head,11,19,Tmean,AGExPOLPARTY,0.735280715156876
head,16,2,Tmean,AGExPOLPARTY,0.7070885770576172
head,30,1,Tmean,AGExPOLPARTY,0.7020827469743878
head,16,10,Tmean,AGExPOLPARTY,0.6980687011646763
head,15,5,Tmean,AGExPOLPARTY,0.6915885971613525
head,19,31,Tmean,AGExPOLPARTY,0.6864688459115703
head,15,6,Tmean,AGExPOLPARTY,0.6791979949874686
head,19,30,Tmean,AGExPOLPARTY,0.6718936378379103
head,11,16,Tmean,AGExPOLPARTY,0.6653197164033076
head,11,5,Tmean,AGExPOLPARTY,0.6499805663892351
head,14,3,Tmean,AGExPOLPARTY,0.6458492487904253
head,18,14,Tmean,AGExPOLPARTY,0.6425321324702129
head,27,29,Tmean,AGExPOLPARTY,0.6394897671987455
head,26,7,Tmean,AGExPOLPARTY,0.6320681382600887
head,21,20,Tmean,AGExPOLPARTY,0.6305268518890809
head,11,31,Tmean,AGExPOLPARTY,0.6284796215136772
head,8,11,Tmean,AGExPOLPARTY,0.6238256067977429
head,30,4,Tmean,AGExPOLPARTY,0.6233230134158926
head,13,28,Tmean,AGExPOLPARTY,0.6230918204602415
head,14,1,Tmean,AGExPOLPARTY,0.6198685215713079
head,14,1,Tmean,EDUCATIONxINCOME,0.6819367165012346
head,16,28,Tmean,EDUCATIONxINCOME,0.678140264193754
head,25,13,Tmean,EDUCATIONxINCOME,0.6771514697159375
head,15,27,Tmean,EDUCATIONxINCOME,0.6766662438331802
head,11,16,Tmean,EDUCATIONxINCOME,0.6686292825341836
head,14,25,Tmean,EDUCATIONxINCOME,0.6679895838664187
head,11,28,Tmean,EDUCATIONxINCOME,0.6604558649162748
head,14,13,Tmean,EDUCATIONxINCOME,0.6575869150096103
head,14,26,Tmean,EDUCATIONxINCOME,0.6574302822038517
head,15,0,Tmean,EDUCATIONxINCOME,0.6508698002256441
head,26,13,Tmean,EDUCATIONxINCOME,0.6490612770506093
head,8,3,Tmean,EDUCATIONxINCOME,0.6487328202156583
head,14,2,Tmean,EDUCATIONxINCOME,0.6484978704518634
head,16,11,Tmean,EDUCATIONxINCOME,0.6482371593676803
head,10,30,Tmean,EDUCATIONxINCOME,0.6467762642367981
head,21,20,Tmean,EDUCATIONxINCOME,0.6453886584319575
head,26,15,Tmean,EDUCATIONxINCOME,0.6436459377169537
head,27,15,Tmean,EDUCATIONxINCOME,0.6426904862139436
head,12,22,Tmean,EDUCATIONxINCOME,0.6418838144884929
head,14,11,Tmean,EDUCATIONxINCOME,0.6383517955793535
head,8,21,Tmean,RACExPOLIDEOLOGY,0.49566392278417815
head,18,15,Tmean,RACExPOLIDEOLOGY,0.48842480889963363
