attr_type,pair,qkey,wd_A_to_realA,wd_A_to_realB,wd_B_to_realB,condition,wd_patch_to_realB,wd_patch_to_realA,wd_patch_to_predB,shift_ke_realB,shift_dari_realA
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent -> AGExPOLPARTY :: 50-64 | Independent,CARS10A_W27,0.05907383744397732,0.04997192918368043,0.03296314858097382,patch_L11H16,0.04997192918368043,0.05907383744397732,0.017008780602706608,0.0,0.0
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent -> AGExPOLPARTY :: 50-64 | Independent,CARS10A_W27,0.05907383744397732,0.04997192918368043,0.03296314858097382,patch_L18H14,0.04997192918368043,0.05907383744397732,0.017008780602706608,0.0,0.0
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent -> AGExPOLPARTY :: 50-64 | Independent,CARS10A_W27,0.05907383744397732,0.04997192918368043,0.03296314858097382,patch_top3,0.04997192918368043,0.05907383744397732,0.017008780602706608,0.0,0.0
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent -> AGExPOLPARTY :: 50-64 | Independent,CARS10A_W27,0.05907383744397732,0.04997192918368043,0.03296314858097382,patch_random,0.04997192918368043,0.05907383744397732,0.017008780602706608,0.0,0.0
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent -> AGExPOLPARTY :: 50-64 | Independent,CARS10A_W27,0.05907383744397732,0.04997192918368043,0.03296314858097382,self_patch,0.04997192918368043,0.05907383744397732,0.017008780602706608,0.0,0.0
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent -> AGExPOLPARTY :: 50-64 | Independent,CARS3A_W27,0.7361452445344187,0.9796994440055353,0.9142089704926296,patch_L11H16,0.9792973888371239,0.7357431893660074,0.06508841834449441,0.0004020551684114082,-0.0004020551684112972
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent -> AGExPOLPARTY :: 50-64 | Independent,CARS3A_W27,0.7361452445344187,0.9796994440055353,0.9142089704926296,patch_L18H14,0.9802546056699477,0.736700406198831,0.06604563517731815,-0.0005551616644123847,0.0005551616644123847
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent -> AGExPOLPARTY :: 50-64 | Independent,CARS3A_W27,0.7361452445344187,0.9796994440055353,0.9142089704926296,patch_top3,0.9792973888371239,0.7357431893660074,0.06508841834449441,0.0004020551684114082,-0.0004020551684112972
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent -> AGExPOLPARTY :: 50-64 | Independent,CARS3A_W27,0.7361452445344187,0.9796994440055353,0.9142089704926296,patch_random,0.9792973888371239,0.7357431893660074,0.06508841834449441,0.0004020551684114082,-0.0004020551684112972
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent -> AGExPOLPARTY :: 50-64 | Independent,CARS3A_W27,0.7361452445344187,0.9796994440055353,0.9142089704926296,self_patch,0.9796994440055353,0.7361452445344187,0.06549047351290577,0.0,0.0
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent -> AGExPOLPARTY :: 50-64 | Independent,CONCERNGRPf_W49,0.08816344326081804,0.12781651421358864,0.15175456721117236,patch_L11H16,0.12781651421358864,0.08816344326081804,0.023938052997583725,0.0,0.0
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent -> AGExPOLPARTY :: 50-64 | Independent,CONCERNGRPf_W49,0.08816344326081804,0.12781651421358864,0.15175456721117236,patch_L18H14,0.12781651421358864,0.08816344326081804,0.023938052997583725,0.0,0.0
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent -> AGExPOLPARTY :: 50-64 | Independent,CONCERNGRPf_W49,0.08816344326081804,0.12781651421358864,0.15175456721117236,patch_top3,0.12973357834636656,0.08915186705567102,0.0220209888648058,-0.0019170641327779236,0.0009884237948529773
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent -> AGExPOLPARTY :: 50-64 | Independent,CONCERNGRPf_W49,0.08816344326081804,0.12781651421358864,0.15175456721117236,patch_random,0.12781651421358864,0.08816344326081804,0.023938052997583725,0.0,0.0
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent -> AGExPOLPARTY :: 50-64 | Independent,CONCERNGRPf_W49,0.08816344326081804,0.12781651421358864,0.15175456721117236,self_patch,0.12781651421358864,0.08816344326081804,0.023938052997583725,0.0,0.0
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent -> AGExPOLPARTY :: 50-64 | Independent,ECON4_i_W54,0.1728931210638835,0.18629534342920012,0.2002847569446004,patch_L11H16,0.18629534342920012,0.1728931210638835,0.05528822281890877,0.0,0.0
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent -> AGExPOLPARTY :: 50-64 | Independent,ECON4_i_W54,0.1728931210638835,0.18629534342920012,0.2002847569446004,patch_L18H14,0.18465308756872906,0.17245828509638877,0.05572305878640349,0.0016422558604710646,-0.00043483596749471776
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent -> AGExPOLPARTY :: 50-64 | Independent,ECON4_i_W54,0.1728931210638835,0.18629534342920012,0.2002847569446004,patch_top3,0.18465308756872906,0.17245828509638877,0.05572305878640349,0.0016422558604710646,-0.00043483596749471776
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent -> AGExPOLPARTY :: 50-64 | Independent,ECON4_i_W54,0.1728931210638835,0.18629534342920012,0.2002847569446004,patch_random,0.18465308756872906,0.17245828509638877,0.05572305878640349,0.0016422558604710646,-0.00043483596749471776
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent -> AGExPOLPARTY :: 50-64 | Independent,ECON4_i_W54,0.1728931210638835,0.18629534342920012,0.2002847569446004,self_patch,0.18629534342920012,0.1728931210638835,0.05528822281890877,0.0,0.0
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent -> AGExPOLPARTY :: 50-64 | Independent,ESSENPOLF1G_W36,0.1840729167793676,0.1508169965675737,0.16184245221319576,patch_L11H16,0.1508169965675737,0.1840729167793676,0.011025455645622073,0.0,0.0
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent -> AGExPOLPARTY :: 50-64 | Independent,ESSENPOLF1G_W36,0.1840729167793676,0.1508169965675737,0.16184245221319576,patch_L18H14,0.15121836982611486,0.18447429003790877,0.010624082387080902,-0.0004013732585411711,0.0004013732585411711
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent -> AGExPOLPARTY :: 50-64 | Independent,ESSENPOLF1G_W36,0.1840729167793676,0.1508169965675737,0.16184245221319576,patch_top3,0.1508169965675737,0.1840729167793676,0.011025455645622073,0.0,0.0
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent -> AGExPOLPARTY :: 50-64 | Independent,ESSENPOLF1G_W36,0.1840729167793676,0.1508169965675737,0.16184245221319576,patch_random,0.15272641107173807,0.18598233128353198,0.009116041141457698,-0.001909414504164375,0.001909414504164375
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent -> AGExPOLPARTY :: 50-64 | Independent,ESSENPOLF1G_W36,0.1840729167793676,0.1508169965675737,0.16184245221319576,self_patch,0.1508169965675737,0.1840729167793676,0.011025455645622073,0.0,0.0
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent -> AGExPOLPARTY :: 50-64 | Independent,FAMSURV22d_W50,0.2150488056630363,0.3630168092479956,0.4058284875733328,patch_L11H16,0.3630168092479956,0.2150488056630363,0.042811678325337166,0.0,0.0
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent -> AGExPOLPARTY :: 50-64 | Independent,FAMSURV22d_W50,0.2150488056630363,0.3630168092479956,0.4058284875733328,patch_L18H14,0.36522569110167263,0.21725768751671332,0.04060279647166015,-0.002208881853677014,0.002208881853677014
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent -> AGExPOLPARTY :: 50-64 | Independent,FAMSURV22d_W50,0.2150488056630363,0.3630168092479956,0.4058284875733328,patch_top3,0.3630168092479956,0.2150488056630363,0.042811678325337166,0.0,0.0
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent -> AGExPOLPARTY :: 50-64 | Independent,FAMSURV22d_W50,0.2150488056630363,0.3630168092479956,0.4058284875733328,patch_random,0.3630168092479956,0.2150488056630363,0.042811678325337166,0.0,0.0
