attr_type,condition,n,mean_shift_ke_realB,persen_positif,p_wilcoxon_vs_random
AGExPOLPARTY,patch_L11H16,375,2.4353679384613893e-05,0.344,0.7099166553826419
AGExPOLPARTY,patch_L18H14,375,5.098730873589097e-05,0.264,0.1853958084025633
AGExPOLPARTY,patch_top3,375,0.00010128813909198272,0.37333333333333335,0.08666523756011685
AGExPOLPARTY,patch_random,375,-3.529543808510471e-05,0.25866666666666666,
AGExPOLPARTY,self_patch,75,0.0,0.0,
RELIGxPOLPARTY,patch_L11H16,375,2.8674461073187348e-05,0.328,0.1851170000444985
RELIGxPOLPARTY,patch_L18H14,375,1.3689153715338114e-05,0.24533333333333332,0.33057569581221546
RELIGxPOLPARTY,patch_top3,375,-2.9035127641562537e-05,0.3546666666666667,0.6744275365220294
RELIGxPOLPARTY,patch_random,375,-5.191452902553913e-05,0.2773333333333333,
RELIGxPOLPARTY,self_patch,75,0.0,0.0,
RACExRELIG,patch_L11H16,375,3.1052477585036633e-06,0.26666666666666666,0.6431172092212399
RACExRELIG,patch_L18H14,375,-3.331476202258843e-05,0.22666666666666666,0.9209620915719237
RACExRELIG,patch_top3,375,0.00019547750773811948,0.3973333333333333,0.0176723513313354
RACExRELIG,patch_random,375,-3.668324760640725e-05,0.24533333333333332,
RACExRELIG,self_patch,75,0.0,0.0,
