ty,gk,qk,n_opt,mouth_pred
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent,CANDEXP_W92,4,"0.364941,0.282005,0.214538,0.138516"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Other,CANDEXP_W92,4,"0.327808,0.310363,0.232451,0.129378"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Refused,CANDEXP_W92,4,"0.344496,0.294663,0.199379,0.161462"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent,CANQUALPOL_W92,4,"0.106959,0.141697,0.490723,0.260621"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Other,CANQUALPOL_W92,4,"0.107869,0.163201,0.498781,0.230150"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Refused,CANQUALPOL_W92,4,"0.120225,0.158032,0.409904,0.311839"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent,COHABDUR_W50,6,"0.231433,0.184514,0.187420,0.131866,0.132901,0.131866"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Other,COHABDUR_W50,6,"0.231929,0.176442,0.182043,0.127087,0.138491,0.144008"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Republican,COHABDUR_W50,6,"0.212813,0.176429,0.169670,0.134220,0.133175,0.173693"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused,COHABDUR_W50,6,"0.179864,0.192966,0.189974,0.140078,0.145658,0.151460"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Republican,COHABDUR_W50,6,"0.176261,0.183282,0.173528,0.143860,0.138349,0.184720"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Democrat,COHABDUR_W50,6,"0.172394,0.183513,0.186403,0.155745,0.148613,0.153331"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Independent,COHABDUR_W50,6,"0.177415,0.185929,0.191831,0.151751,0.143675,0.149398"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Other,COHABDUR_W50,6,"0.180681,0.177880,0.190837,0.139619,0.145181,0.165802"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Republican,COHABDUR_W50,6,"0.165487,0.170740,0.170740,0.144905,0.143778,0.204349"
AGExPOLPARTY,AGExPOLPARTY :: 65+ | Independent,COHABDUR_W50,6,"0.183128,0.181703,0.174742,0.144866,0.144866,0.170694"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent,COMMYRS_W32,5,"0.128348,0.150054,0.179591,0.257253,0.284753"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Other,COMMYRS_W32,5,"0.131399,0.151239,0.181010,0.249351,0.287001"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Independent,COMMYRS_W32,5,"0.114829,0.137433,0.165775,0.264908,0.317054"
AGExPOLPARTY,AGExPOLPARTY :: 65+ | Independent,COMMYRS_W32,5,"0.120731,0.136806,0.145629,0.241985,0.354848"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent,ECON5_e_W54,5,"0.171759,0.175832,0.200807,0.229329,0.222273"
