attr_type,pair,qkey,layer,wd_A_to_realA,wd_A_to_realB,wd_B_to_realB,wd_patch_to_realB,wd_ctrl_to_realB,shift_ke_realB,shift_ctrl_ke_realB
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Refused,RACESURV47b_W43,0,0.3462063208046198,0.939815508180618,0.9134955688099247,0.939815508180618,0.9422637570631957,0.0,-0.002448248882577664
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Refused,RACESURV47b_W43,1,0.3462063208046198,0.939815508180618,0.9134955688099247,0.937378870156965,0.9422637570631957,0.002436638023653015,-0.002448248882577664
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Refused,RACESURV47b_W43,2,0.3462063208046198,0.939815508180618,0.9134955688099247,0.9385285842185658,0.9422637570631957,0.001286923962052211,-0.002448248882577664
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Refused,RACESURV47b_W43,3,0.3462063208046198,0.939815508180618,0.9134955688099247,0.9427155542535761,0.9422637570631957,-0.002900046072958129,-0.002448248882577664
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Refused,RACESURV47b_W43,4,0.3462063208046198,0.939815508180618,0.9134955688099247,0.9427155542535761,0.9422637570631957,-0.002900046072958129,-0.002448248882577664
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Refused,RACESURV47b_W43,5,0.3462063208046198,0.939815508180618,0.9134955688099247,0.9427155542535761,0.9422637570631957,-0.002900046072958129,-0.002448248882577664
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Refused,RACESURV47b_W43,6,0.3462063208046198,0.939815508180618,0.9134955688099247,0.9385285842185658,0.9422637570631957,0.001286923962052211,-0.002448248882577664
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Refused,RACESURV47b_W43,7,0.3462063208046198,0.939815508180618,0.9134955688099247,0.939815508180618,0.9422637570631957,0.0,-0.002448248882577664
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Refused,RACESURV47b_W43,8,0.3462063208046198,0.939815508180618,0.9134955688099247,0.9402782964842337,0.9422637570631957,-0.0004627883036156799,-0.002448248882577664
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Refused,RACESURV47b_W43,9,0.3462063208046198,0.939815508180618,0.9134955688099247,0.9369047926986979,0.9422637570631957,0.002910715481920123,-0.002448248882577664
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Refused,RACESURV47b_W43,10,0.3462063208046198,0.939815508180618,0.9134955688099247,0.9567883476259937,0.9422637570631957,-0.016972839445375754,-0.002448248882577664
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Refused,RACESURV47b_W43,11,0.3462063208046198,0.939815508180618,0.9134955688099247,0.939446555300941,0.9422637570631957,0.0003689528796769759,-0.002448248882577664
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Refused,RACESURV47b_W43,12,0.3462063208046198,0.939815508180618,0.9134955688099247,0.9356143163738642,0.9422637570631957,0.004201191806753823,-0.002448248882577664
