type,variant,n_cells,n_shared_questions,rho_star,rho_best
AGExPOLPARTY,raw,18,,0.6789433476739978,0.7558635894549206
AGExPOLPARTY,norm,18,,0.690714084676933,0.774627075710667
AGExPOLPARTY,shared,18,102.0,0.6384041654939487,0.7169293554742471
EDUCATIONxINCOME,raw,33,,0.6631849209535081,0.6693623388409299
EDUCATIONxINCOME,norm,33,,0.6340282422333696,0.664156024904349
EDUCATIONxINCOME,shared,33,77.0,0.43773317663493905,0.45356530152321156
RACExPOLIDEOLOGY,raw,24,,0.48028880866426,0.5221289650547225
RACExPOLIDEOLOGY,norm,24,,0.4475170160243147,0.5045595810562065
RACExPOLIDEOLOGY,shared,1,,,
RACExPOLPARTY,raw,22,,0.6047129032886155,0.6522420607877879
RACExPOLPARTY,norm,22,,0.5886865009053914,0.630136879612142
RACExPOLPARTY,shared,1,,,
RACExRELIG,raw,25,,0.3408806764519606,0.4913947932754808
RACExRELIG,norm,25,,0.3449758330648118,0.50775364170713
RACExRELIG,shared,1,,,
RELIGxPOLPARTY,raw,30,,0.6085685711661566,0.6085685711661566
RELIGxPOLPARTY,norm,30,,0.6192212987490104,0.6262404564850708
RELIGxPOLPARTY,shared,30,101.0,0.5578077870125099,0.7191202690626106
