type,lex,n_cells,rho_lex_survey,rho_star,rho_star_lex,partial_star,p_partial_star,rho_best,partial_best,p_partial_best
AGExPOLPARTY,value,18,0.3898315306984037,0.6653197164033076,0.5227272727272727,0.5879127943576454,0.0,0.735280715156876,0.6982747148916902,0.0
AGExPOLPARTY,sentence,18,0.6384845804350447,0.6653197164033076,0.6074678675297871,0.45384584414576146,0.0,0.735280715156876,0.4879283012536391,0.0
EDUCATIONxINCOME,value,33,0.6355992751612285,0.6686292825341836,0.7875916361145018,0.3532286125665138,0.0,0.6819383469645502,0.38699529844350566,0.0
EDUCATIONxINCOME,sentence,33,0.536867139740163,0.6686292825341836,0.7068365815966998,0.48451173841411543,0.0,0.6819383469645502,0.5077198404742828,0.0
RACExPOLIDEOLOGY,value,24,0.3067284998787118,0.467356344801016,0.718053109972746,0.37302869975151104,0.0,0.5168607753884791,0.442909662551374,0.0
RACExPOLIDEOLOGY,sentence,24,0.2725303577289137,0.467356344801016,0.5922392659922091,0.3946449701961246,0.0,0.5168607753884791,0.4665254664062738,0.0
RACExPOLPARTY,value,22,0.21035358943904672,0.5942716953211705,0.5128633735080512,0.5795435452159065,0.0,0.6507681224322904,0.6362642416493721,0.0
RACExPOLPARTY,sentence,22,0.32509394653322693,0.5942716953211705,0.4388958118343426,0.5314497900488991,0.0,0.6507681224322904,0.5966272790136629,0.0
RACExRELIG,value,25,0.28324625829175876,0.3298507761197346,0.4612206802297803,0.23410548351942712,0.056,0.48641118234647046,0.4124721556579197,0.0015
RACExRELIG,sentence,25,0.39150035000388894,0.3298507761197346,0.5154452827253636,0.1623973698317284,0.115,0.48641118234647046,0.33144621186755946,0.0055
RELIGxPOLPARTY,value,30,0.2084875141594636,0.599656382437454,0.5248537402122935,0.588874825118562,0.0,0.599656382437454,0.588874825118562,0.0
RELIGxPOLPARTY,sentence,30,0.2929566417907184,0.599656382437454,0.5260003469706402,0.547931064028846,0.0,0.599656382437454,0.547931064028846,0.0
