ty,gk,qk,n_opt,mouth_pred
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Democrat,ADMISSIONe_W43,3,"0.451430,0.330273,0.218297"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent,ADMISSIONe_W43,3,"0.411073,0.343464,0.245463"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Other,ADMISSIONe_W43,3,"0.367316,0.353244,0.279439"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Republican,ADMISSIONe_W43,3,"0.442934,0.334344,0.222721"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Democrat,ADMISSIONe_W43,3,"0.404414,0.359693,0.235893"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Independent,ADMISSIONe_W43,3,"0.415746,0.347369,0.236885"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Other,ADMISSIONe_W43,3,"0.365052,0.359392,0.275556"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused,ADMISSIONe_W43,3,"0.389170,0.351586,0.259243"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Republican,ADMISSIONe_W43,3,"0.437526,0.340746,0.221728"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Democrat,ADMISSIONe_W43,3,"0.388693,0.362301,0.249006"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Independent,ADMISSIONe_W43,3,"0.392602,0.351926,0.255471"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Other,ADMISSIONe_W43,3,"0.363693,0.355268,0.281040"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Refused,ADMISSIONe_W43,3,"0.379407,0.353646,0.266946"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Republican,ADMISSIONe_W43,3,"0.424835,0.338708,0.236456"
AGExPOLPARTY,AGExPOLPARTY :: 65+ | Democrat,ADMISSIONe_W43,3,"0.416435,0.342550,0.241014"
AGExPOLPARTY,AGExPOLPARTY :: 65+ | Independent,ADMISSIONe_W43,3,"0.410869,0.337972,0.251159"
AGExPOLPARTY,AGExPOLPARTY :: 65+ | Other,ADMISSIONe_W43,3,"0.375007,0.344126,0.280867"
AGExPOLPARTY,AGExPOLPARTY :: 65+ | Republican,ADMISSIONe_W43,3,"0.445805,0.321101,0.233094"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Democrat,BENEFITSc_W54,2,"0.640636,0.359364"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent,BENEFITSc_W54,2,"0.629775,0.370225"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Other,BENEFITSc_W54,2,"0.603932,0.396068"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Republican,BENEFITSc_W54,2,"0.615088,0.384912"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Democrat,BENEFITSc_W54,2,"0.581303,0.418697"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Independent,BENEFITSc_W54,2,"0.600188,0.399812"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Other,BENEFITSc_W54,2,"0.569853,0.430147"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused,BENEFITSc_W54,2,"0.573678,0.426322"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Republican,BENEFITSc_W54,2,"0.581303,0.418697"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Democrat,BENEFITSc_W54,2,"0.577495,0.422505"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Independent,BENEFITSc_W54,2,"0.588889,0.411111"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Other,BENEFITSc_W54,2,"0.573678,0.426322"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Republican,BENEFITSc_W54,2,"0.581303,0.418697"
AGExPOLPARTY,AGExPOLPARTY :: 65+ | Democrat,BENEFITSc_W54,2,"0.596433,0.403567"
AGExPOLPARTY,AGExPOLPARTY :: 65+ | Independent,BENEFITSc_W54,2,"0.600188,0.399812"
AGExPOLPARTY,AGExPOLPARTY :: 65+ | Other,BENEFITSc_W54,2,"0.581303,0.418697"
AGExPOLPARTY,AGExPOLPARTY :: 65+ | Republican,BENEFITSc_W54,2,"0.592667,0.407333"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Democrat,BETTERBIZ1F2C_W36,3,"0.233440,0.316592,0.449968"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent,BETTERBIZ1F2C_W36,3,"0.201963,0.253318,0.544719"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Other,BETTERBIZ1F2C_W36,3,"0.204819,0.247058,0.548123"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Republican,BETTERBIZ1F2C_W36,3,"0.228256,0.273187,0.498557"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Democrat,BETTERBIZ1F2C_W36,3,"0.224028,0.323422,0.452549"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Independent,BETTERBIZ1F2C_W36,3,"0.206159,0.279592,0.514249"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Other,BETTERBIZ1F2C_W36,3,"0.213622,0.265857,0.520522"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Republican,BETTERBIZ1F2C_W36,3,"0.239264,0.288607,0.472129"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Democrat,BETTERBIZ1F2C_W36,3,"0.219008,0.313715,0.467277"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Independent,BETTERBIZ1F2C_W36,3,"0.208837,0.257879,0.533284"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Other,BETTERBIZ1F2C_W36,3,"0.209212,0.252357,0.538431"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Republican,BETTERBIZ1F2C_W36,3,"0.232813,0.274321,0.492866"
AGExPOLPARTY,AGExPOLPARTY :: 65+ | Democrat,BETTERBIZ1F2C_W36,3,"0.225763,0.311002,0.463235"
AGExPOLPARTY,AGExPOLPARTY :: 65+ | Independent,BETTERBIZ1F2C_W36,3,"0.209675,0.254900,0.535424"
AGExPOLPARTY,AGExPOLPARTY :: 65+ | Other,BETTERBIZ1F2C_W36,3,"0.217549,0.252361,0.530090"
AGExPOLPARTY,AGExPOLPARTY :: 65+ | Republican,BETTERBIZ1F2C_W36,3,"0.234795,0.268144,0.497061"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Democrat,BETTERBIZ2F2B_W36,3,"0.275464,0.373585,0.350951"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent,BETTERBIZ2F2B_W36,3,"0.248246,0.287970,0.463784"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Other,BETTERBIZ2F2B_W36,3,"0.241768,0.284873,0.473359"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Republican,BETTERBIZ2F2B_W36,3,"0.300855,0.312840,0.386305"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Democrat,BETTERBIZ2F2B_W36,3,"0.273950,0.371532,0.354518"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Independent,BETTERBIZ2F2B_W36,3,"0.259602,0.298800,0.441598"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Other,BETTERBIZ2F2B_W36,3,"0.251735,0.285253,0.463012"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Republican,BETTERBIZ2F2B_W36,3,"0.312652,0.310219,0.377130"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Democrat,BETTERBIZ2F2B_W36,3,"0.264774,0.370485,0.364741"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Independent,BETTERBIZ2F2B_W36,3,"0.257667,0.282992,0.459341"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Other,BETTERBIZ2F2B_W36,3,"0.248633,0.279545,0.471822"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Republican,BETTERBIZ2F2B_W36,3,"0.302641,0.302641,0.394718"
AGExPOLPARTY,AGExPOLPARTY :: 65+ | Democrat,BETTERBIZ2F2B_W36,3,"0.275537,0.367891,0.356572"
AGExPOLPARTY,AGExPOLPARTY :: 65+ | Independent,BETTERBIZ2F2B_W36,3,"0.261019,0.284443,0.454538"
AGExPOLPARTY,AGExPOLPARTY :: 65+ | Other,BETTERBIZ2F2B_W36,3,"0.257307,0.280397,0.462296"
AGExPOLPARTY,AGExPOLPARTY :: 65+ | Republican,BETTERBIZ2F2B_W36,3,"0.304292,0.301924,0.393783"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Democrat,BETTERPOL1F1A_W36,3,"0.265035,0.314737,0.420229"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent,BETTERPOL1F1A_W36,3,"0.226510,0.246837,0.526652"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Other,BETTERPOL1F1A_W36,3,"0.224987,0.239497,0.535516"
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Republican,BETTERPOL1F1A_W36,3,"0.272458,0.264075,0.463467"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Democrat,BETTERPOL1F1A_W36,3,"0.255154,0.317544,0.427302"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Independent,BETTERPOL1F1A_W36,3,"0.232903,0.270173,0.496924"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Other,BETTERPOL1F1A_W36,3,"0.233042,0.253955,0.513003"
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Republican,BETTERPOL1F1A_W36,3,"0.280710,0.274207,0.445083"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Democrat,BETTERPOL1F1A_W36,3,"0.247710,0.310698,0.441591"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Independent,BETTERPOL1F1A_W36,3,"0.233022,0.249996,0.516982"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Other,BETTERPOL1F1A_W36,3,"0.232032,0.245075,0.522893"
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Republican,BETTERPOL1F1A_W36,3,"0.270484,0.262162,0.467354"
AGExPOLPARTY,AGExPOLPARTY :: 65+ | Democrat,BETTERPOL1F1A_W36,3,"0.257163,0.305388,0.437449"
AGExPOLPARTY,AGExPOLPARTY :: 65+ | Independent,BETTERPOL1F1A_W36,3,"0.232980,0.246076,0.520943"
AGExPOLPARTY,AGExPOLPARTY :: 65+ | Other,BETTERPOL1F1A_W36,3,"0.238098,0.241848,0.520054"
AGExPOLPARTY,AGExPOLPARTY :: 65+ | Republican,BETTERPOL1F1A_W36,3,"0.274782,0.254132,0.471086"
