ty,gk,qk,n_opt,mouth_pred
EDUCATIONxINCOME,"EDUCATIONxINCOME :: Associate's degree | $100,000 or more",ADMISSIONe_W43,3,"0.495395,0.322360,0.182246"
EDUCATIONxINCOME,"EDUCATIONxINCOME :: Associate's degree | $30,000-$50,000",ADMISSIONe_W43,3,"0.414198,0.357061,0.228742"
EDUCATIONxINCOME,"EDUCATIONxINCOME :: Associate's degree | $50,000-$75,000",ADMISSIONe_W43,3,"0.388272,0.385251,0.226477"
EDUCATIONxINCOME,"EDUCATIONxINCOME :: Associate's degree | $75,000-$100,000",ADMISSIONe_W43,3,"0.421966,0.372384,0.205650"
EDUCATIONxINCOME,"EDUCATIONxINCOME :: Associate's degree | Less than $30,000",ADMISSIONe_W43,3,"0.372454,0.369555,0.257991"
EDUCATIONxINCOME,"EDUCATIONxINCOME :: College graduate/some postgrad | $100,000 or more",ADMISSIONe_W43,3,"0.460655,0.339666,0.199679"
EDUCATIONxINCOME,"EDUCATIONxINCOME :: College graduate/some postgrad | $30,000-$50,000",ADMISSIONe_W43,3,"0.428271,0.349545,0.222184"
EDUCATIONxINCOME,"EDUCATIONxINCOME :: College graduate/some postgrad | $50,000-$75,000",ADMISSIONe_W43,3,"0.397590,0.379383,0.223028"
EDUCATIONxINCOME,"EDUCATIONxINCOME :: College graduate/some postgrad | $75,000-$100,000",ADMISSIONe_W43,3,"0.429987,0.362085,0.207928"
EDUCATIONxINCOME,"EDUCATIONxINCOME :: College graduate/some postgrad | Less than $30,000",ADMISSIONe_W43,3,"0.368947,0.363227,0.267827"
EDUCATIONxINCOME,EDUCATIONxINCOME :: College graduate/some postgrad | Refused,ADMISSIONe_W43,3,"0.360255,0.341083,0.298662"
EDUCATIONxINCOME,"EDUCATIONxINCOME :: High school graduate | $100,000 or more",ADMISSIONe_W43,3,"0.426206,0.356109,0.217685"
EDUCATIONxINCOME,"EDUCATIONxINCOME :: High school graduate | $30,000-$50,000",ADMISSIONe_W43,3,"0.390575,0.366911,0.242514"
EDUCATIONxINCOME,"EDUCATIONxINCOME :: High school graduate | $50,000-$75,000",ADMISSIONe_W43,3,"0.383882,0.386892,0.229226"
EDUCATIONxINCOME,"EDUCATIONxINCOME :: High school graduate | $75,000-$100,000",ADMISSIONe_W43,3,"0.400155,0.378859,0.220986"
EDUCATIONxINCOME,"EDUCATIONxINCOME :: High school graduate | Less than $30,000",ADMISSIONe_W43,3,"0.339855,0.376185,0.283960"
EDUCATIONxINCOME,EDUCATIONxINCOME :: High school graduate | Refused,ADMISSIONe_W43,3,"0.338820,0.355081,0.306099"
EDUCATIONxINCOME,"EDUCATIONxINCOME :: Less than high school | $30,000-$50,000",ADMISSIONe_W43,3,"0.398354,0.354303,0.247343"
EDUCATIONxINCOME,"EDUCATIONxINCOME :: Less than high school | Less than $30,000",ADMISSIONe_W43,3,"0.350919,0.364898,0.284183"
EDUCATIONxINCOME,"EDUCATIONxINCOME :: Postgraduate | $100,000 or more",ADMISSIONe_W43,3,"0.459693,0.336319,0.203988"
EDUCATIONxINCOME,"EDUCATIONxINCOME :: Postgraduate | $30,000-$50,000",ADMISSIONe_W43,3,"0.410065,0.350747,0.239189"
EDUCATIONxINCOME,"EDUCATIONxINCOME :: Postgraduate | $50,000-$75,000",ADMISSIONe_W43,3,"0.390805,0.375834,0.233361"
EDUCATIONxINCOME,"EDUCATIONxINCOME :: Postgraduate | $75,000-$100,000",ADMISSIONe_W43,3,"0.429563,0.356120,0.214317"
EDUCATIONxINCOME,"EDUCATIONxINCOME :: Postgraduate | Less than $30,000",ADMISSIONe_W43,3,"0.371759,0.351974,0.276267"
EDUCATIONxINCOME,"EDUCATIONxINCOME :: Some college, no degree | $100,000 or more",ADMISSIONe_W43,3,"0.411212,0.354487,0.234301"
EDUCATIONxINCOME,"EDUCATIONxINCOME :: Some college, no degree | $30,000-$50,000",ADMISSIONe_W43,3,"0.387315,0.352654,0.260031"
EDUCATIONxINCOME,"EDUCATIONxINCOME :: Some college, no degree | $50,000-$75,000",ADMISSIONe_W43,3,"0.368503,0.380200,0.251297"
EDUCATIONxINCOME,"EDUCATIONxINCOME :: Some college, no degree | $75,000-$100,000",ADMISSIONe_W43,3,"0.396514,0.366716,0.236770"
EDUCATIONxINCOME,"EDUCATIONxINCOME :: Some college, no degree | Less than $30,000",ADMISSIONe_W43,3,"0.353480,0.364701,0.281819"
EDUCATIONxINCOME,"EDUCATIONxINCOME :: Some college, no degree | Refused",ADMISSIONe_W43,3,"0.316945,0.309603,0.373452"
EDUCATIONxINCOME,"EDUCATIONxINCOME :: Associate's degree | $100,000 or more",ADMISSIONg_W43,3,"0.478807,0.301980,0.219214"
EDUCATIONxINCOME,"EDUCATIONxINCOME :: Associate's degree | $30,000-$50,000",ADMISSIONg_W43,3,"0.402213,0.336062,0.261725"
EDUCATIONxINCOME,"EDUCATIONxINCOME :: Associate's degree | $50,000-$75,000",ADMISSIONg_W43,3,"0.373075,0.364433,0.262491"
EDUCATIONxINCOME,"EDUCATIONxINCOME :: Associate's degree | $75,000-$100,000",ADMISSIONg_W43,3,"0.396483,0.355405,0.248113"
EDUCATIONxINCOME,"EDUCATIONxINCOME :: Associate's degree | Less than $30,000",ADMISSIONg_W43,3,"0.339876,0.350664,0.309460"
EDUCATIONxINCOME,"EDUCATIONxINCOME :: College graduate/some postgrad | $100,000 or more",ADMISSIONg_W43,3,"0.430438,0.322383,0.247180"
EDUCATIONxINCOME,"EDUCATIONxINCOME :: College graduate/some postgrad | $30,000-$50,000",ADMISSIONg_W43,3,"0.413534,0.329698,0.256769"
EDUCATIONxINCOME,"EDUCATIONxINCOME :: College graduate/some postgrad | $50,000-$75,000",ADMISSIONg_W43,3,"0.376252,0.359022,0.264726"
EDUCATIONxINCOME,"EDUCATIONxINCOME :: College graduate/some postgrad | $75,000-$100,000",ADMISSIONg_W43,3,"0.396900,0.344833,0.258268"
EDUCATIONxINCOME,"EDUCATIONxINCOME :: College graduate/some postgrad | Less than $30,000",ADMISSIONg_W43,3,"0.330652,0.343823,0.325525"
EDUCATIONxINCOME,EDUCATIONxINCOME :: College graduate/some postgrad | Refused,ADMISSIONg_W43,3,"0.350887,0.319486,0.329627"
EDUCATIONxINCOME,"EDUCATIONxINCOME :: High school graduate | $100,000 or more",ADMISSIONg_W43,3,"0.408686,0.333560,0.257755"
EDUCATIONxINCOME,"EDUCATIONxINCOME :: High school graduate | $30,000-$50,000",ADMISSIONg_W43,3,"0.381141,0.344333,0.274526"
EDUCATIONxINCOME,"EDUCATIONxINCOME :: High school graduate | $50,000-$75,000",ADMISSIONg_W43,3,"0.374137,0.362626,0.263238"
EDUCATIONxINCOME,"EDUCATIONxINCOME :: High school graduate | $75,000-$100,000",ADMISSIONg_W43,3,"0.383327,0.357300,0.259372"
EDUCATIONxINCOME,"EDUCATIONxINCOME :: High school graduate | Less than $30,000",ADMISSIONg_W43,3,"0.316915,0.353545,0.329540"
EDUCATIONxINCOME,EDUCATIONxINCOME :: High school graduate | Refused,ADMISSIONg_W43,3,"0.337686,0.332451,0.329863"
EDUCATIONxINCOME,"EDUCATIONxINCOME :: Less than high school | $30,000-$50,000",ADMISSIONg_W43,3,"0.384552,0.334104,0.281344"
EDUCATIONxINCOME,"EDUCATIONxINCOME :: Less than high school | Less than $30,000",ADMISSIONg_W43,3,"0.327243,0.342948,0.329809"
EDUCATIONxINCOME,"EDUCATIONxINCOME :: Postgraduate | $100,000 or more",ADMISSIONg_W43,3,"0.419673,0.321774,0.258553"
EDUCATIONxINCOME,"EDUCATIONxINCOME :: Postgraduate | $30,000-$50,000",ADMISSIONg_W43,3,"0.385395,0.334837,0.279767"
EDUCATIONxINCOME,"EDUCATIONxINCOME :: Postgraduate | $50,000-$75,000",ADMISSIONg_W43,3,"0.365284,0.356822,0.277894"
EDUCATIONxINCOME,"EDUCATIONxINCOME :: Postgraduate | $75,000-$100,000",ADMISSIONg_W43,3,"0.396351,0.341676,0.261972"
EDUCATIONxINCOME,"EDUCATIONxINCOME :: Postgraduate | Less than $30,000",ADMISSIONg_W43,3,"0.335941,0.330733,0.333327"
EDUCATIONxINCOME,"EDUCATIONxINCOME :: Some college, no degree | $100,000 or more",ADMISSIONg_W43,3,"0.392461,0.335690,0.271850"
EDUCATIONxINCOME,"EDUCATIONxINCOME :: Some college, no degree | $30,000-$50,000",ADMISSIONg_W43,3,"0.371000,0.337799,0.291201"
EDUCATIONxINCOME,"EDUCATIONxINCOME :: Some college, no degree | $50,000-$75,000",ADMISSIONg_W43,3,"0.353702,0.362090,0.284208"
EDUCATIONxINCOME,"EDUCATIONxINCOME :: Some college, no degree | $75,000-$100,000",ADMISSIONg_W43,3,"0.377249,0.348898,0.273853"
EDUCATIONxINCOME,"EDUCATIONxINCOME :: Some college, no degree | Less than $30,000",ADMISSIONg_W43,3,"0.330652,0.343823,0.325525"
EDUCATIONxINCOME,"EDUCATIONxINCOME :: Some college, no degree | Refused",ADMISSIONg_W43,3,"0.320115,0.293754,0.386132"
EDUCATIONxINCOME,"EDUCATIONxINCOME :: Associate's degree | $100,000 or more",BENEFITSb_W54,2,"0.629775,0.370225"
EDUCATIONxINCOME,"EDUCATIONxINCOME :: Associate's degree | $30,000-$50,000",BENEFITSb_W54,2,"0.592667,0.407333"
EDUCATIONxINCOME,"EDUCATIONxINCOME :: Associate's degree | $50,000-$75,000",BENEFITSb_W54,2,"0.567937,0.432063"
