ty,gk,qk,n_opt,mouth_pred
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Asian | Conservative,ADKIDS_W50,3,"0.329804,0.262943,0.407253"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Asian | Liberal,ADKIDS_W50,3,"0.303314,0.265590,0.431096"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Asian | Moderate,ADKIDS_W50,3,"0.279265,0.260304,0.460431"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Asian | Very liberal,ADKIDS_W50,3,"0.264124,0.290083,0.445793"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Black | Conservative,ADKIDS_W50,3,"0.276753,0.294603,0.428644"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Black | Liberal,ADKIDS_W50,3,"0.290096,0.281170,0.428734"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Black | Moderate,ADKIDS_W50,3,"0.273605,0.282290,0.444105"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Black | Refused,ADKIDS_W50,3,"0.256175,0.283560,0.460264"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Black | Very conservative,ADKIDS_W50,3,"0.269282,0.300406,0.430312"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Black | Very liberal,ADKIDS_W50,3,"0.259886,0.301473,0.438641"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Hispanic | Conservative,ADKIDS_W50,3,"0.272394,0.285467,0.442139"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Hispanic | Liberal,ADKIDS_W50,3,"0.279535,0.266734,0.453730"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Hispanic | Moderate,ADKIDS_W50,3,"0.260073,0.254048,0.485879"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Hispanic | Very liberal,ADKIDS_W50,3,"0.254831,0.297927,0.447242"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Mixed Race | Conservative,ADKIDS_W50,3,"0.276753,0.294603,0.428644"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Mixed Race | Liberal,ADKIDS_W50,3,"0.284330,0.282118,0.433552"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Mixed Race | Moderate,ADKIDS_W50,3,"0.265415,0.275988,0.458596"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Refused | Moderate,ADKIDS_W50,3,"0.276006,0.303134,0.420860"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: White | Conservative,ADKIDS_W50,3,"0.262751,0.279697,0.457553"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: White | Liberal,ADKIDS_W50,3,"0.276002,0.276002,0.447996"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: White | Moderate,ADKIDS_W50,3,"0.254812,0.269135,0.476052"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: White | Refused,ADKIDS_W50,3,"0.241009,0.260593,0.498397"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: White | Very conservative,ADKIDS_W50,3,"0.254891,0.279942,0.465167"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: White | Very liberal,ADKIDS_W50,3,"0.250465,0.281605,0.467930"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Asian | Conservative,ADMISSIONe_W43,3,"0.439372,0.304344,0.256284"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Asian | Liberal,ADMISSIONe_W43,3,"0.411605,0.320558,0.267837"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Asian | Moderate,ADMISSIONe_W43,3,"0.383803,0.344039,0.272157"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Asian | Very liberal,ADMISSIONe_W43,3,"0.401849,0.315415,0.282736"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Black | Conservative,ADMISSIONe_W43,3,"0.381141,0.344333,0.274526"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Black | Liberal,ADMISSIONe_W43,3,"0.397641,0.337473,0.264886"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Black | Moderate,ADMISSIONe_W43,3,"0.367130,0.364273,0.268598"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Black | Very conservative,ADMISSIONe_W43,3,"0.401322,0.325000,0.273678"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Black | Very liberal,ADMISSIONe_W43,3,"0.392983,0.328350,0.278667"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Hispanic | Conservative,ADMISSIONe_W43,3,"0.366894,0.347368,0.285737"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Hispanic | Liberal,ADMISSIONe_W43,3,"0.375007,0.344126,0.280867"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Hispanic | Moderate,ADMISSIONe_W43,3,"0.361967,0.364806,0.273227"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Hispanic | Refused,ADMISSIONe_W43,3,"0.338009,0.354230,0.307761"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Hispanic | Very conservative,ADMISSIONe_W43,3,"0.387551,0.328910,0.283538"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Hispanic | Very liberal,ADMISSIONe_W43,3,"0.379170,0.334617,0.286213"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Other | Conservative,ADMISSIONe_W43,3,"0.388929,0.335278,0.275792"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Other | Liberal,ADMISSIONe_W43,3,"0.397224,0.331893,0.270883"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Other | Moderate,ADMISSIONe_W43,3,"0.374690,0.357531,0.267779"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: White | Conservative,ADMISSIONe_W43,3,"0.378178,0.336358,0.285464"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: White | Liberal,ADMISSIONe_W43,3,"0.389947,0.333539,0.276514"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: White | Moderate,ADMISSIONe_W43,3,"0.374153,0.354241,0.271606"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: White | Refused,ADMISSIONe_W43,3,"0.363294,0.330783,0.305924"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: White | Very conservative,ADMISSIONe_W43,3,"0.402838,0.313730,0.283432"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: White | Very liberal,ADMISSIONe_W43,3,"0.391615,0.319627,0.288759"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Asian | Conservative,ADMISSIONg_W43,3,"0.469754,0.282703,0.247543"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Asian | Liberal,ADMISSIONg_W43,3,"0.435954,0.299627,0.264419"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Asian | Moderate,ADMISSIONg_W43,3,"0.411237,0.325315,0.263448"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Asian | Very liberal,ADMISSIONg_W43,3,"0.400302,0.304534,0.295164"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Black | Conservative,ADMISSIONg_W43,3,"0.403882,0.327074,0.269044"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Black | Liberal,ADMISSIONg_W43,3,"0.413321,0.321895,0.264784"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Black | Moderate,ADMISSIONg_W43,3,"0.385994,0.348716,0.265290"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Black | Very conservative,ADMISSIONg_W43,3,"0.401849,0.315415,0.282736"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Black | Very liberal,ADMISSIONg_W43,3,"0.387017,0.320848,0.292135"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Hispanic | Conservative,ADMISSIONg_W43,3,"0.393837,0.329063,0.277099"
RACExPOLIDEOLOGY,RACExPOLIDEOLOGY :: Hispanic | Liberal,ADMISSIONg_W43,3,"0.398428,0.327738,0.273835"
