ty,gk,qk,n_opt,mouth_pred
RACExPOLPARTY,RACExPOLPARTY :: Asian | Democrat,ABORTIONRESTR_W32,2,"0.594551,0.405449"
RACExPOLPARTY,RACExPOLPARTY :: Asian | Independent,ABORTIONRESTR_W32,2,"0.631594,0.368406"
RACExPOLPARTY,RACExPOLPARTY :: Black | Democrat,ABORTIONRESTR_W32,2,"0.573678,0.426322"
RACExPOLPARTY,RACExPOLPARTY :: Black | Independent,ABORTIONRESTR_W32,2,"0.605799,0.394201"
RACExPOLPARTY,RACExPOLPARTY :: Black | Other,ABORTIONRESTR_W32,2,"0.586996,0.413004"
RACExPOLPARTY,RACExPOLPARTY :: Hispanic | Democrat,ABORTIONRESTR_W32,2,"0.575588,0.424412"
RACExPOLPARTY,RACExPOLPARTY :: Hispanic | Independent,ABORTIONRESTR_W32,2,"0.626124,0.373876"
RACExPOLPARTY,RACExPOLPARTY :: Hispanic | Other,ABORTIONRESTR_W32,2,"0.603932,0.396068"
RACExPOLPARTY,RACExPOLPARTY :: Hispanic | Republican,ABORTIONRESTR_W32,2,"0.616936,0.383064"
RACExPOLPARTY,RACExPOLPARTY :: Mixed Race | Democrat,ABORTIONRESTR_W32,2,"0.564098,0.435902"
RACExPOLPARTY,RACExPOLPARTY :: Mixed Race | Independent,ABORTIONRESTR_W32,2,"0.615088,0.384912"
RACExPOLPARTY,RACExPOLPARTY :: Other | Independent,ABORTIONRESTR_W32,2,"0.603932,0.396068"
RACExPOLPARTY,RACExPOLPARTY :: Other | Republican,ABORTIONRESTR_W32,2,"0.583203,0.416797"
RACExPOLPARTY,RACExPOLPARTY :: White | Democrat,ABORTIONRESTR_W32,2,"0.558327,0.441673"
RACExPOLPARTY,RACExPOLPARTY :: White | Independent,ABORTIONRESTR_W32,2,"0.598312,0.401688"
RACExPOLPARTY,RACExPOLPARTY :: White | Other,ABORTIONRESTR_W32,2,"0.577495,0.422505"
RACExPOLPARTY,RACExPOLPARTY :: White | Refused,ABORTIONRESTR_W32,2,"0.569853,0.430147"
RACExPOLPARTY,RACExPOLPARTY :: White | Republican,ABORTIONRESTR_W32,2,"0.602062,0.397938"
RACExPOLPARTY,RACExPOLPARTY :: Asian | Democrat,ACCCHECK_W45,4,"0.352106,0.282925,0.223812,0.141157"
RACExPOLPARTY,RACExPOLPARTY :: Asian | Independent,ACCCHECK_W45,4,"0.299725,0.295079,0.248481,0.156715"
RACExPOLPARTY,RACExPOLPARTY :: Asian | Republican,ACCCHECK_W45,4,"0.302353,0.286262,0.233640,0.177744"
RACExPOLPARTY,RACExPOLPARTY :: Black | Democrat,ACCCHECK_W45,4,"0.259316,0.315249,0.251338,0.174097"
RACExPOLPARTY,RACExPOLPARTY :: Black | Independent,ACCCHECK_W45,4,"0.271289,0.324690,0.247011,0.157010"
RACExPOLPARTY,RACExPOLPARTY :: Black | Other,ACCCHECK_W45,4,"0.242540,0.311428,0.272696,0.173336"
RACExPOLPARTY,RACExPOLPARTY :: Hispanic | Democrat,ACCCHECK_W45,4,"0.257706,0.310853,0.255701,0.175740"
RACExPOLPARTY,RACExPOLPARTY :: Hispanic | Independent,ACCCHECK_W45,4,"0.253710,0.320719,0.261763,0.163807"
RACExPOLPARTY,RACExPOLPARTY :: Hispanic | Other,ACCCHECK_W45,4,"0.250426,0.314105,0.275040,0.160429"
RACExPOLPARTY,RACExPOLPARTY :: Hispanic | Republican,ACCCHECK_W45,4,"0.257050,0.305255,0.251096,0.186599"
RACExPOLPARTY,RACExPOLPARTY :: Mixed Race | Democrat,ACCCHECK_W45,4,"0.262864,0.290964,0.250827,0.195344"
RACExPOLPARTY,RACExPOLPARTY :: Mixed Race | Independent,ACCCHECK_W45,4,"0.252798,0.302560,0.256779,0.187863"
RACExPOLPARTY,RACExPOLPARTY :: Mixed Race | Other,ACCCHECK_W45,4,"0.239210,0.297702,0.275329,0.187758"
RACExPOLPARTY,RACExPOLPARTY :: Mixed Race | Republican,ACCCHECK_W45,4,"0.256992,0.284465,0.247147,0.211396"
RACExPOLPARTY,RACExPOLPARTY :: White | Democrat,ACCCHECK_W45,4,"0.275153,0.295196,0.239057,0.190593"
RACExPOLPARTY,RACExPOLPARTY :: White | Independent,ACCCHECK_W45,4,"0.273550,0.300436,0.245209,0.180806"
RACExPOLPARTY,RACExPOLPARTY :: White | Other,ACCCHECK_W45,4,"0.261611,0.291848,0.259575,0.186965"
RACExPOLPARTY,RACExPOLPARTY :: White | Refused,ACCCHECK_W45,4,"0.255719,0.276499,0.242110,0.225672"
RACExPOLPARTY,RACExPOLPARTY :: White | Republican,ACCCHECK_W45,4,"0.288990,0.284510,0.221576,0.204924"
RACExPOLPARTY,RACExPOLPARTY :: Asian | Democrat,ADMISSIONb_W43,3,"0.340901,0.312829,0.346270"
RACExPOLPARTY,RACExPOLPARTY :: Asian | Independent,ADMISSIONb_W43,3,"0.288409,0.314290,0.397300"
RACExPOLPARTY,RACExPOLPARTY :: Asian | Other,ADMISSIONb_W43,3,"0.280093,0.324913,0.394994"
