ty,gk,qk,n_opt,mouth_pred
RACExRELIG,RACExRELIG :: Asian | Agnostic,ADMISSIONa_W43,3,"0.211352,0.312358,0.476290"
RACExRELIG,RACExRELIG :: Asian | Hindu,ADMISSIONa_W43,3,"0.201788,0.332692,0.465520"
RACExRELIG,RACExRELIG :: Asian | Nothing in particular,ADMISSIONa_W43,3,"0.180382,0.321566,0.498052"
RACExRELIG,RACExRELIG :: Asian | Protestant,ADMISSIONa_W43,3,"0.202214,0.301197,0.496589"
RACExRELIG,RACExRELIG :: Asian | Roman Catholic,ADMISSIONa_W43,3,"0.204574,0.293039,0.502386"
RACExRELIG,RACExRELIG :: Black | Nothing in particular,ADMISSIONa_W43,3,"0.172613,0.343282,0.484105"
RACExRELIG,RACExRELIG :: Black | Protestant,ADMISSIONa_W43,3,"0.201054,0.331482,0.467464"
RACExRELIG,RACExRELIG :: Black | Roman Catholic,ADMISSIONa_W43,3,"0.195411,0.324705,0.479883"
RACExRELIG,RACExRELIG :: Hispanic | Agnostic,ADMISSIONa_W43,3,"0.201116,0.342109,0.456775"
RACExRELIG,RACExRELIG :: Hispanic | Atheist,ADMISSIONa_W43,3,"0.172217,0.337184,0.490600"
RACExRELIG,RACExRELIG :: Hispanic | Nothing in particular,ADMISSIONa_W43,3,"0.173997,0.338018,0.487986"
RACExRELIG,RACExRELIG :: Hispanic | Protestant,ADMISSIONa_W43,3,"0.199585,0.329059,0.471356"
RACExRELIG,RACExRELIG :: Hispanic | Roman Catholic,ADMISSIONa_W43,3,"0.198878,0.320298,0.480824"
RACExRELIG,RACExRELIG :: Other | Nothing in particular,ADMISSIONa_W43,3,"0.207644,0.342348,0.450008"
RACExRELIG,RACExRELIG :: Other | Protestant,ADMISSIONa_W43,3,"0.246122,0.328616,0.425261"
RACExRELIG,RACExRELIG :: White | Agnostic,ADMISSIONa_W43,3,"0.247575,0.327983,0.424442"
RACExRELIG,RACExRELIG :: White | Atheist,ADMISSIONa_W43,3,"0.215278,0.336044,0.448678"
RACExRELIG,RACExRELIG :: White | Jewish,ADMISSIONa_W43,3,"0.234885,0.336457,0.428658"
RACExRELIG,RACExRELIG :: White | Mormon,ADMISSIONa_W43,3,"0.238953,0.321546,0.439501"
RACExRELIG,RACExRELIG :: White | Nothing in particular,ADMISSIONa_W43,3,"0.227394,0.330856,0.441750"
RACExRELIG,RACExRELIG :: White | Other,ADMISSIONa_W43,3,"0.249385,0.332973,0.417642"
RACExRELIG,RACExRELIG :: White | Protestant,ADMISSIONa_W43,3,"0.256005,0.318603,0.425391"
RACExRELIG,RACExRELIG :: White | Roman Catholic,ADMISSIONa_W43,3,"0.248565,0.311770,0.439666"
RACExRELIG,RACExRELIG :: Asian | Agnostic,ADMISSIONb_W43,3,"0.234929,0.326166,0.438905"
RACExRELIG,RACExRELIG :: Asian | Hindu,ADMISSIONb_W43,3,"0.217870,0.345446,0.436684"
RACExRELIG,RACExRELIG :: Asian | Nothing in particular,ADMISSIONb_W43,3,"0.189342,0.327155,0.483503"
RACExRELIG,RACExRELIG :: Asian | Protestant,ADMISSIONb_W43,3,"0.215815,0.316471,0.467714"
RACExRELIG,RACExRELIG :: Asian | Roman Catholic,ADMISSIONb_W43,3,"0.218176,0.305283,0.476541"
RACExRELIG,RACExRELIG :: Black | Nothing in particular,ADMISSIONb_W43,3,"0.184617,0.347615,0.467768"
RACExRELIG,RACExRELIG :: Black | Protestant,ADMISSIONb_W43,3,"0.219043,0.341921,0.439036"
RACExRELIG,RACExRELIG :: Black | Roman Catholic,ADMISSIONb_W43,3,"0.211153,0.334796,0.454051"
RACExRELIG,RACExRELIG :: Hispanic | Agnostic,ADMISSIONb_W43,3,"0.211287,0.348353,0.440360"
RACExRELIG,RACExRELIG :: Hispanic | Atheist,ADMISSIONb_W43,3,"0.188856,0.347359,0.463785"
RACExRELIG,RACExRELIG :: Hispanic | Nothing in particular,ADMISSIONb_W43,3,"0.184935,0.342816,0.472249"
RACExRELIG,RACExRELIG :: Hispanic | Protestant,ADMISSIONb_W43,3,"0.213398,0.338355,0.448247"
