ty,gk,qk,n_opt,mouth_pred
RELIGxPOLPARTY,RELIGxPOLPARTY :: Agnostic | Democrat,ADMISSIONa_W43,3,"0.338125,0.310281,0.351594"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Agnostic | Independent,ADMISSIONa_W43,3,"0.264967,0.324644,0.410389"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Agnostic | Other,ADMISSIONa_W43,3,"0.269044,0.327074,0.403882"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Atheist | Democrat,ADMISSIONa_W43,3,"0.269799,0.343732,0.386469"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Atheist | Independent,ADMISSIONa_W43,3,"0.266529,0.339567,0.393904"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Atheist | Other,ADMISSIONa_W43,3,"0.253573,0.341219,0.405208"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Jewish | Democrat,ADMISSIONa_W43,3,"0.275172,0.339792,0.385035"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Mormon | Republican,ADMISSIONa_W43,3,"0.292288,0.292288,0.415425"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Nothing in particular | Democrat,ADMISSIONa_W43,3,"0.279132,0.339339,0.381529"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Nothing in particular | Independent,ADMISSIONa_W43,3,"0.251297,0.340809,0.407895"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Nothing in particular | Other,ADMISSIONa_W43,3,"0.254375,0.342299,0.403326"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Nothing in particular | Republican,ADMISSIONa_W43,3,"0.279062,0.321199,0.399739"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Other | Democrat,ADMISSIONa_W43,3,"0.283031,0.336108,0.380860"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Other | Independent,ADMISSIONa_W43,3,"0.267940,0.336071,0.395989"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Protestant | Democrat,ADMISSIONa_W43,3,"0.280609,0.335845,0.383547"
RELIGxPOLPARTY,RELIGxPOLPARTY :: Protestant | Independent,ADMISSIONa_W43,3,"0.275537,0.329775,0.394688"
