type,cell,n,wd_mouth,wd_L11,wd_L1,wd_L11H16,wd_qmean
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Democrat,247,0.2871307776913499,0.22213153423237514,0.29547132034014173,0.22625751738504188,0.15932413527134254
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent,248,0.26561043131955303,0.1960625392896393,0.2579034027525424,0.1926868344052519,0.11882650166057256
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Other,248,0.25769663786284874,0.19744184031080386,0.2584356946340957,0.19916158963914546,0.14131768211632637
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Republican,248,0.33509486812277206,0.2154098336824784,0.2627778696055194,0.22908073575868812,0.15859138086553076
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Democrat,249,0.27162348777309236,0.20904285931024888,0.2861378582549254,0.20008819926102725,0.13297909420834159
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Independent,250,0.25832434750402195,0.18282151227675464,0.2543089356455428,0.1770147777849973,0.07957100501413703
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Other,250,0.24703290280208906,0.18192889608533103,0.24903678340710894,0.17642350047001637,0.09664505322315962
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused,83,0.3113773953402512,0.23841861437033662,0.3055778518861457,0.2368324585506693,0.20864219809472423
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Republican,250,0.329434716005413,0.2074561427466909,0.27484938989374175,0.21567779083587046,0.1391699830284801
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Democrat,249,0.2788253571621286,0.19788038598091434,0.277332298301126,0.19181073543428168,0.11284063149316685
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Independent,250,0.2879132148077856,0.18312384556060218,0.261431588497713,0.17640758615171234,0.07383072193149712
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Other,250,0.2888149701372498,0.19773356684358942,0.26571472974698956,0.19395570784647498,0.12050555239844707
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Refused,28,0.2721428412605044,0.23672376645608875,0.2980317494565589,0.20518346754395037,0.17805411386889022
AGExPOLPARTY,AGExPOLPARTY :: 50-64 | Republican,250,0.3402045312059654,0.22064109272351287,0.283168194979452,0.2244316853150051,0.14794846523685942
AGExPOLPARTY,AGExPOLPARTY :: 65+ | Democrat,249,0.32474903424437157,0.23342310079961168,0.31996983249179317,0.22505610814669008,0.15061830092235498
AGExPOLPARTY,AGExPOLPARTY :: 65+ | Independent,250,0.3103968725982567,0.2065985576812826,0.28057459076236024,0.20368044664447563,0.10848378707735262
AGExPOLPARTY,AGExPOLPARTY :: 65+ | Other,202,0.3341591124790771,0.2558952381089688,0.32136763100953825,0.2514325366825087,0.18814694059630102
