model,head,type,rho,p_raw
base,L9 H30,AGExPOLPARTY,0.36,0.001
base,L9 H30,EDUCATIONxINCOME,0.147,0.05
base,L9 H30,RACExPOLIDEOLOGY,0.586,0.0
base,L9 H30,RACExPOLPARTY,0.465,0.0
base,L9 H30,RACExRELIG,-0.023,0.557
base,L9 H30,RELIGxPOLPARTY,0.033,0.354
base,L33 H9,AGExPOLPARTY,0.421,0.0
base,L33 H9,EDUCATIONxINCOME,0.393,0.0
base,L33 H9,RACExPOLIDEOLOGY,0.347,0.002
base,L33 H9,RACExPOLPARTY,0.39,0.001
base,L33 H9,RACExRELIG,0.225,0.067
base,L33 H9,RELIGxPOLPARTY,0.569,0.0
mid,L9 H30,AGExPOLPARTY,0.484,0.0
mid,L9 H30,EDUCATIONxINCOME,0.187,0.022
mid,L9 H30,RACExPOLIDEOLOGY,0.618,0.0
mid,L9 H30,RACExPOLPARTY,0.564,0.0
mid,L9 H30,RACExRELIG,0.04,0.372
mid,L9 H30,RELIGxPOLPARTY,0.042,0.327
mid,L33 H9,AGExPOLPARTY,0.397,0.002
mid,L33 H9,EDUCATIONxINCOME,0.396,0.001
mid,L33 H9,RACExPOLIDEOLOGY,0.369,0.0
mid,L33 H9,RACExPOLPARTY,0.411,0.0
mid,L33 H9,RACExRELIG,0.247,0.056
mid,L33 H9,RELIGxPOLPARTY,0.579,0.0
osim,L9 H30,AGExPOLPARTY,0.439,0.0
osim,L9 H30,EDUCATIONxINCOME,0.149,0.047
osim,L9 H30,RACExPOLIDEOLOGY,0.603,0.0
osim,L9 H30,RACExPOLPARTY,0.542,0.0
osim,L9 H30,RACExRELIG,-0.005,0.496
osim,L9 H30,RELIGxPOLPARTY,0.089,0.164
osim,L33 H9,AGExPOLPARTY,0.418,0.0
osim,L33 H9,EDUCATIONxINCOME,0.469,0.0
osim,L33 H9,RACExPOLIDEOLOGY,0.365,0.0
osim,L33 H9,RACExPOLPARTY,0.429,0.0
osim,L33 H9,RACExRELIG,0.236,0.051
osim,L33 H9,RELIGxPOLPARTY,0.563,0.0
