model,type,n_cells,resid_best,head_best,head_loc,null_p95,p_maxstat,heldout_mean
base,AGExPOLPARTY,18,0.49743342313001754,0.7756356130969133,L12 H28,0.38937417072091984,0.0,0.493136249715197
base,EDUCATIONxINCOME,33,0.5092820246051625,0.6974978583864347,L18 H12,0.3551324743291702,0.0,0.5836765798292773
base,RACExPOLIDEOLOGY,24,0.35211940468885994,0.585465724213919,L9 H30,0.4027524591019885,0.0,0.37702125126834635
base,RACExPOLPARTY,22,0.3707655912303589,0.5992309040285053,L20 H0,0.4668313245974416,0.001,0.36968949459798384
base,RACExRELIG,25,0.34754038323546305,0.4134512605695619,L35 H27,0.46497240486118235,0.148,0.288246202735586
base,RELIGxPOLPARTY,30,0.36699836745205366,0.5686160682395032,L33 H9,0.361735343174666,0.0,0.5625053758581329
mid,AGExPOLPARTY,18,0.4973999169045608,0.7392076447804,L23 H26,0.389784454451637,0.0,0.614087022368756
mid,EDUCATIONxINCOME,33,0.49970080998156596,0.6837370065063845,L26 H26,0.35318231420263113,0.0,0.5364944565877728
mid,RACExPOLIDEOLOGY,24,0.356002910917367,0.6184344506697264,L9 H30,0.40836560551361983,0.0,0.3831562214102757
mid,RACExPOLPARTY,22,0.3776056776806403,0.566736112463249,L31 H14,0.4655322152098381,0.0025,0.3755081468177428
mid,RACExRELIG,25,0.36440004888943206,0.45249747219413533,L26 H26,0.46241550898272316,0.062,0.30396882187579854
mid,RELIGxPOLPARTY,30,0.38784555927480036,0.5792198117319813,L33 H9,0.36436024008035733,0.0,0.5560732253836723
osim,AGExPOLPARTY,18,0.5133890876924934,0.7287201962124562,L23 H27,0.38643500462385905,0.0,0.5663705038169234
osim,EDUCATIONxINCOME,33,0.5321259072382496,0.6839094140669201,L17 H6,0.3470572792702564,0.0,0.5994945196867031
osim,RACExPOLIDEOLOGY,24,0.3474596538291405,0.603050501755914,L9 H30,0.404146344943708,0.0,0.3979412117619192
osim,RACExPOLPARTY,22,0.37289627253653646,0.6268531318756206,L21 H24,0.4680085126310026,0.0,0.4591483479039702
osim,RACExRELIG,25,0.333667300044147,0.4341479349770553,L26 H7,0.45887096523294696,0.0955,0.2217296412251797
osim,RELIGxPOLPARTY,30,0.3843248864081138,0.5625227972831325,L33 H9,0.36445761025884715,0.0,0.5546923769967214
