model,type,wd_mouth,rho_output,n_pair
base,AGExPOLPARTY,0.27394458305801356,0.7083785667376997,153
base,EDUCATIONxINCOME,0.29110209017367855,0.44688325523957545,528
base,RACExPOLIDEOLOGY,0.33307058617356605,0.307182483492959,410
base,RACExPOLPARTY,0.3326569336447879,0.21893248292194967,342
base,RACExRELIG,0.359873880167925,0.20248233110023686,386
base,RELIGxPOLPARTY,0.34363593974200546,0.5435723688910206,435
mid,AGExPOLPARTY,0.2737447688047388,0.714875423853752,153
mid,EDUCATIONxINCOME,0.30070834873523283,0.4216388732454993,528
mid,RACExPOLIDEOLOGY,0.3360923448194308,0.20072796823126443,410
mid,RACExPOLPARTY,0.3090973849787521,0.2149546167771455,342
mid,RACExRELIG,0.3605030476636233,0.24536779844648263,386
mid,RELIGxPOLPARTY,0.35311922134082796,0.5728128093396332,435
osim,AGExPOLPARTY,0.3022237551828812,0.790093549381475,153
osim,EDUCATIONxINCOME,0.30455914135914613,0.43906714019669263,528
osim,RACExPOLIDEOLOGY,0.34022749165038474,0.26997165868719347,410
osim,RACExPOLPARTY,0.3011261537554988,0.30923154435853234,342
osim,RACExRELIG,0.34332927331709234,0.24208633074761524,386
osim,RELIGxPOLPARTY,0.34768610261000543,0.5899312910660891,435
