model,type,n_pair,wd_abs,ceiling,ceiling_pct,adv_median,frac_adv_pos,p_sign
mistral_base,AGExPOLPARTY,306,0.3572,0.0093,2.61,0.0108,0.559,0.0452
mistral_base,EDUCATIONxINCOME,1056,0.3266,0.0033,1.02,0.0041,0.547,0.0023
mistral_base,RACExPOLIDEOLOGY,820,0.3729,0.0343,9.19,0.0245,0.621,0.0
mistral_base,RACExPOLPARTY,684,0.3454,0.0126,3.64,0.0062,0.537,0.0609
mistral_base,RACExRELIG,772,0.4644,0.0054,1.17,0.0049,0.519,0.2966
mistral_base,RELIGxPOLPARTY,870,0.3682,0.0061,1.65,0.0049,0.518,0.2933
mistral_instruct,AGExPOLPARTY,306,0.6454,0.0221,3.43,0.0217,0.748,0.0
mistral_instruct,EDUCATIONxINCOME,1056,0.5917,0.0142,2.4,0.0093,0.62,0.0
mistral_instruct,RACExPOLIDEOLOGY,820,0.6559,0.0649,9.89,0.0402,0.638,0.0
mistral_instruct,RACExPOLPARTY,684,0.6962,0.0105,1.5,0.018,0.595,0.0
mistral_instruct,RACExRELIG,772,0.702,0.0206,2.93,0.0137,0.588,0.0
mistral_instruct,RELIGxPOLPARTY,870,0.6422,0.0219,3.42,0.0192,0.651,0.0
